lat,lon,n_nodes,conf_min_dist,wtime,exp_err_m,weight
38.981238950303606,-78.1120334671386,8.0,25.480447739562972,2024-06-24 12:40:37,48.1,0.00043222496444949665
38.98130846127303,-78.11205244735143,8.0,30.14931492356065,2024-06-24 12:42:00,48.1,0.00043222496444949665
38.98119436164387,-78.11214086554445,8.0,35.11182907823195,2024-06-24 12:43:34,48.1,0.00043222496444949665
38.98116696099269,-78.11199788936634,8.0,30.14931492356065,2024-06-24 12:45:02,48.1,0.00043222496444949665
38.980901126297546,-78.1120861304866,8.0,32.59157603799735,2024-06-24 12:46:30,48.1,0.00043222496444949665
38.980957644660535,-78.11211416952132,8.0,37.71522006741689,2024-06-24 12:48:04,48.1,0.00043222496444949665
38.98081783537951,-78.11202937531253,8.0,37.71522006741689,2024-06-24 12:49:32,48.1,0.00043222496444949665
38.980897287368414,-78.11209800561278,8.0,40.407421769014626,2024-06-24 12:51:00,48.1,0.00043222496444949665
38.98103406329317,-78.11208968928769,8.0,37.71522006741689,2024-06-24 12:52:30,48.1,0.00043222496444949665
38.980972347780394,-78.11212645135356,8.0,40.407421769014626,2024-06-24 12:54:02,48.1,0.00043222496444949665
38.980839816002415,-78.11207058971343,8.0,40.407421769014626,2024-06-24 12:55:30,48.1,0.00043222496444949665
38.98100402342734,-78.11220675689303,8.0,43.19470812259763,2024-06-24 12:57:01,48.1,0.00043222496444949665
38.98108803430842,-78.11207319294651,8.0,40.407421769014626,2024-06-24 12:58:32,48.1,0.00043222496444949665
38.98111558983613,-78.1121267031705,8.0,43.19470812259763,2024-06-24 13:00:01,48.1,0.00043222496444949665
38.98107384751389,-78.11209555619043,8.0,40.407421769014626,2024-06-24 13:01:31,48.1,0.00043222496444949665
38.98118438030632,-78.11208097287161,8.0,40.407421769014626,2024-06-24 13:03:02,48.1,0.00043222496444949665
38.98102752066161,-78.11193017537524,8.0,37.71522006741689,2024-06-24 13:04:31,48.1,0.00043222496444949665
38.98098793317845,-78.11198623445637,8.0,37.71522006741689,2024-06-24 13:06:04,48.1,0.00043222496444949665
38.98103924767224,-78.11219295966731,8.0,46.084042311227975,2024-06-24 13:07:33,48.1,0.00043222496444949665
38.981092597415696,-78.11208957990186,8.0,43.19470812259763,2024-06-24 13:09:01,48.1,0.00043222496444949665
38.98112841000219,-78.11207896954014,8.0,40.407421769014626,2024-06-24 13:10:31,48.1,0.00043222496444949665
38.98109748500736,-78.11213612234272,8.0,43.19470812259763,2024-06-24 13:12:03,48.1,0.00043222496444949665
38.981259348157934,-78.11206057289444,8.0,37.71522006741689,2024-06-24 13:13:31,48.1,0.00043222496444949665
38.981219232545556,-78.1120636205219,7.0,40.407421769014626,2024-06-24 13:15:00,48.1,0.00043222496444949665
38.98096214946714,-78.11232415267187,6.0,69.9563345536149,2024-06-24 13:16:38,86.0,0.00013520822065981613
38.98144386469867,-78.11213641361775,8.0,43.19470812259763,2024-06-24 13:18:01,48.1,0.00043222496444949665
38.980876367442995,-78.11237156323207,8.0,52.2008027086037,2024-06-24 13:19:30,86.0,0.00013520822065981613
38.98099578483741,-78.11216083126544,4.0,87.74813767500933,2024-06-24 13:21:01,86.0,0.00013520822065981613
38.9810835585767,-78.11191821996857,3.0,133.86303487198188,2024-06-24 13:22:32,139.0,5.175715542673774e-05
38.981015815202646,-78.11219306538561,4.0,78.3519595209361,2024-06-24 13:24:00,86.0,0.00013520822065981613
38.98065746570338,-78.11238623096384,3.0,98.41603090780139,2024-06-24 13:25:30,86.0,0.00013520822065981613
38.98181268341212,-78.11268846870247,3.0,110.75457099090045,2024-06-24 13:27:01,139.0,5.175715542673774e-05
38.98206572760003,-78.11286366626813,4.0,110.75457099090045,2024-06-24 13:30:00,139.0,5.175715542673774e-05
38.98096775911813,-78.11237893347435,4.0,104.34443607823266,2024-06-24 13:31:32,139.0,5.175715542673774e-05
38.981963782022135,-78.1126276741631,3.0,110.75457099090045,2024-06-24 13:33:01,139.0,5.175715542673774e-05
38.9803410343746,-78.11307354989054,4.0,117.73170405170917,2024-06-24 13:34:33,139.0,5.175715542673774e-05
38.982032426709544,-78.11276855899108,3.0,125.38596065226945,2024-06-24 13:36:03,139.0,5.175715542673774e-05
38.98201040005425,-78.11286675586027,3.0,117.73170405170917,2024-06-24 13:37:35,139.0,5.175715542673774e-05
38.98211568804923,-78.1130478130844,3.0,133.86303487198188,2024-06-24 13:39:10,139.0,5.175715542673774e-05
38.98223531273808,-78.11344184735862,3.0,143.36137565999834,2024-06-24 13:40:31,139.0,5.175715542673774e-05
38.979945895566026,-78.11327492243483,3.0,133.86303487198188,2024-06-24 13:42:01,139.0,5.175715542673774e-05
38.98192857129252,-78.11277848070907,3.0,125.38596065226945,2024-06-24 13:43:34,139.0,5.175715542673774e-05
38.98231640383794,-78.11316596836271,3.0,133.86303487198188,2024-06-24 13:45:02,139.0,5.175715542673774e-05
38.98001314658052,-78.11333150614897,3.0,133.86303487198188,2024-06-24 13:48:03,139.0,5.175715542673774e-05
38.982267487662234,-78.11361247865992,3.0,133.86303487198188,2024-06-24 13:49:30,139.0,5.175715542673774e-05
38.98019747531342,-78.11328736178966,3.0,125.38596065226945,2024-06-24 13:52:32,139.0,5.175715542673774e-05
38.98192857129252,-78.11277848070907,3.0,125.38596065226945,2024-06-24 13:54:01,139.0,5.175715542673774e-05
38.98221910520546,-78.11312267392293,3.0,133.86303487198188,2024-06-24 13:55:33,139.0,5.175715542673774e-05
38.981957057314396,-78.11274209639748,3.0,133.86303487198188,2024-06-24 13:57:06,139.0,5.175715542673774e-05
38.98004756960589,-78.1135355687268,3.0,125.38596065226945,2024-06-24 13:58:35,139.0,5.175715542673774e-05
38.98025699260937,-78.11301142341236,3.0,125.38596065226945,2024-06-24 14:00:03,139.0,5.175715542673774e-05
38.98206852508613,-78.11296077536096,3.0,125.38596065226945,2024-06-24 14:01:41,139.0,5.175715542673774e-05
38.980092741993495,-78.11346166849557,3.0,125.38596065226945,2024-06-24 14:03:00,139.0,5.175715542673774e-05
38.98018897121517,-78.11318727180297,3.0,125.38596065226945,2024-06-24 14:06:00,139.0,5.175715542673774e-05
38.98189285354937,-78.11267289217423,3.0,125.38596065226945,2024-06-24 14:07:34,139.0,5.175715542673774e-05
38.981879289883665,-78.11263825042678,4.0,125.38596065226945,2024-06-24 14:09:02,139.0,5.175715542673774e-05
38.980030876861086,-78.1134121068028,4.0,133.86303487198188,2024-06-24 14:10:30,139.0,5.175715542673774e-05
38.98123067909783,-78.11205666514314,3.0,55.44665345531434,2024-06-24 14:12:04,86.0,0.00013520822065981613
38.98080066613227,-78.11213583476486,8.0,55.44665345531434,2024-06-24 14:13:31,86.0,0.00013520822065981613
38.98086977175521,-78.11228578601322,8.0,55.44665345531434,2024-06-24 14:15:04,86.0,0.00013520822065981613
38.98075600355173,-78.11277339769819,8.0,78.3519595209361,2024-06-24 14:16:33,86.0,0.00013520822065981613
38.981102644527205,-78.11253851184392,7.0,66.07128491492402,2024-06-24 14:18:01,86.0,0.00013520822065981613
38.98147307702786,-78.11224835664814,7.0,46.084042311227975,2024-06-24 14:19:36,48.1,0.00043222496444949665
38.98010541043309,-78.1128620378314,8.0,87.74813767500933,2024-06-24 14:21:03,86.0,0.00013520822065981613
38.98046791778377,-78.11242013147648,7.0,82.91030438226838,2024-06-24 14:22:31,86.0,0.00013520822065981613
38.980427925342376,-78.11288598477762,3.0,133.86303487198188,2024-06-24 14:24:01,139.0,5.175715542673774e-05
38.982070088414346,-78.11252063074208,3.0,125.38596065226945,2024-06-24 14:25:33,139.0,5.175715542673774e-05
38.98034527697532,-78.11318431334263,4.0,133.86303487198188,2024-06-24 14:27:01,139.0,5.175715542673774e-05
38.98269739061626,-78.11205298684015,3.0,133.86303487198188,2024-06-24 14:30:04,139.0,5.175715542673774e-05
38.98204510960009,-78.11210223306563,3.0,69.9563345536149,2024-06-24 14:31:31,86.0,0.00013520822065981613
38.98102041274343,-78.11209468145358,5.0,74.04256634085611,2024-06-24 14:33:00,86.0,0.00013520822065981613
38.98105888355166,-78.11218655531303,4.0,74.04256634085611,2024-06-24 14:34:33,86.0,0.00013520822065981613
38.98197532385263,-78.11208392728157,4.0,78.3519595209361,2024-06-24 14:36:02,86.0,0.00013520822065981613
38.98093462299156,-78.11222159920855,5.0,78.3519595209361,2024-06-24 14:37:35,86.0,0.00013520822065981613
38.98208079468418,-78.11186091314742,3.0,78.3519595209361,2024-06-24 14:39:08,86.0,0.00013520822065981613
38.98215540380932,-78.11137076599347,3.0,78.3519595209361,2024-06-24 14:40:30,86.0,0.00013520822065981613
38.98165488817525,-78.11213592736293,4.0,55.44665345531434,2024-06-24 14:42:00,86.0,0.00013520822065981613
38.98142957135361,-78.1123732228337,6.0,69.9563345536149,2024-06-24 14:43:33,86.0,0.00013520822065981613
38.981225635287096,-78.11237097231216,7.0,69.9563345536149,2024-06-24 14:45:02,86.0,0.00013520822065981613
38.981119947971735,-78.11230296109105,6.0,69.9563345536149,2024-06-24 14:46:30,86.0,0.00013520822065981613
38.98026370422554,-78.11319373115889,6.0,104.34443607823266,2024-06-24 14:48:00,139.0,5.175715542673774e-05
38.980320573952405,-78.11282878150895,8.0,66.07128491492402,2024-06-24 14:49:37,86.0,0.00013520822065981613
38.98040365451448,-78.1125194105286,8.0,66.07128491492402,2024-06-24 14:51:00,86.0,0.00013520822065981613
38.98092466690728,-78.11229120134463,8.0,49.083181570336876,2024-06-24 14:52:34,48.1,0.00043222496444949665
38.98113442827205,-78.11230248506882,7.0,52.2008027086037,2024-06-24 14:54:02,86.0,0.00013520822065981613
38.981054933419806,-78.11222252712717,7.0,52.2008027086037,2024-06-24 14:55:30,86.0,0.00013520822065981613
38.980757942845464,-78.11266499323871,7.0,74.04256634085611,2024-06-24 14:57:00,86.0,0.00013520822065981613
38.9810513632234,-78.11267626127449,6.0,74.04256634085611,2024-06-24 14:58:32,86.0,0.00013520822065981613
38.980306513744345,-78.11305653722764,8.0,78.3519595209361,2024-06-24 15:00:01,86.0,0.00013520822065981613
38.98142564763706,-78.11236050098825,6.0,98.41603090780139,2024-06-24 15:01:39,86.0,0.00013520822065981613
38.981495017767976,-78.11223865917958,8.0,46.084042311227975,2024-06-24 15:03:02,48.1,0.00043222496444949665
38.98146040933013,-78.11225288494776,8.0,43.19470812259763,2024-06-24 15:04:36,48.1,0.00043222496444949665
